TransactionID,Amount,Time,Merchant,Category,Location,CardType,IsInternational,Fraudulent
1,1737.15,52363,Uber,Gas,New York,Amex,0,0
2,4808.91,75136,Walmart,Gas,Dallas,Discover,1,0
3,2992.43,14473,BestBuy,Travel,Los Angeles,Amex,0,0
4,989.88,18502,eBay,Subscription,Boston,Amex,1,0
5,3009.85,12148,BestBuy,Dining,Boston,Visa,0,0
6,629.49,62601,Apple Store,Gas,San Francisco,Visa,0,0
7,2013.59,47890,eBay,Subscription,Miami,Amex,0,0
8,4811.77,45794,BestBuy,Dining,Houston,Discover,0,0
9,244.11,46719,Amazon,Gas,Houston,Amex,0,0
10,4553.04,59098,Target,Subscription,New York,Amex,0,0
11,1303.08,76170,BestBuy,Electronics,Dallas,Amex,0,0
12,2184.31,14973,Starbucks,Groceries,Houston,Discover,0,0
13,3290.7,10605,Target,Dining,Dallas,Amex,0,0
14,3011.17,63841,Walmart,Groceries,Miami,Visa,1,0
15,14.29,7426,Apple Store,Electronics,Dallas,Discover,0,0
16,664.71,45811,Amazon,Gas,San Francisco,Amex,0,0
17,235.85,43869,Netflix,Travel,Chicago,MasterCard,0,0
18,1641.75,37621,Netflix,Entertainment,Miami,Discover,0,0
19,3532.06,5511,Target,Subscription,Dallas,MasterCard,0,0
20,1792.78,22095,Apple Store,Travel,San Francisco,MasterCard,0,0
21,2926.72,17308,Apple Store,Subscription,Boston,Visa,0,0
22,2849.04,718,Walmart,Subscription,San Francisco,Amex,1,0
23,2818.69,57264,eBay,Groceries,Boston,Discover,0,0
24,2564.95,6069,Apple Store,Subscription,Dallas,Amex,0,0
25,3509.12,31090,Netflix,Gas,San Francisco,Visa,0,0
26,1142.82,16550,Target,Travel,New York,Amex,0,0
27,1944.21,7239,BestBuy,Travel,Miami,MasterCard,0,0
28,1086.25,25969,Apple Store,Entertainment,Chicago,MasterCard,0,0
29,3618.06,14698,Apple Store,Travel,New York,Discover,0,0
30,2286.9,4310,Amazon,Travel,New York,MasterCard,0,0
31,2391.5,43214,Starbucks,Entertainment,New York,Amex,0,0
32,2814.48,70288,Walmart,Gas,New York,Discover,0,0
33,4860.36,52873,Netflix,Entertainment,New York,Amex,0,0
34,2199.09,28500,Target,Travel,Los Angeles,Visa,0,0
35,1915.1,5038,Amazon,Subscription,San Francisco,MasterCard,0,0
36,895.91,49730,Netflix,Electronics,Miami,Visa,0,0
37,1640.65,84496,Netflix,Travel,Miami,Visa,0,0
38,2162.25,8412,Amazon,Subscription,New York,MasterCard,0,0
39,3596.81,26568,Apple Store,Subscription,New York,MasterCard,0,0
40,530.93,74631,Apple Store,Gas,San Francisco,Discover,0,0
41,3766.16,18866,Uber,Travel,Miami,Visa,1,0
42,4500.24,48000,Walmart,Groceries,Los Angeles,Visa,0,0
43,3123.67,18780,BestBuy,Gas,Chicago,MasterCard,0,0
44,4982.05,78449,Target,Clothing,Chicago,MasterCard,0,0
45,78.39,85441,Target,Subscription,Miami,Amex,0,0
46,4964.07,12190,Uber,Travel,Los Angeles,Discover,0,0
47,2324.35,76084,eBay,Entertainment,New York,Visa,0,0
48,3335.05,9911,eBay,Groceries,Los Angeles,Amex,0,0
49,2354.21,53680,BestBuy,Electronics,Chicago,Discover,0,0
50,2747.52,66157,Starbucks,Dining,San Francisco,Discover,0,0
51,2797.74,26623,Amazon,Entertainment,Miami,Amex,0,0
52,167.29,21720,Apple Store,Entertainment,Houston,Amex,0,0
53,3345.0,2023,Uber,Subscription,Dallas,MasterCard,0,0
54,2517.85,33571,BestBuy,Entertainment,San Francisco,Discover,0,0
55,2454.64,77369,Walmart,Travel,Houston,Discover,0,0
56,2859.18,77105,Amazon,Entertainment,San Francisco,Discover,0,0
57,157.47,17114,Target,Gas,Chicago,Amex,0,0
58,1223.6,38514,Amazon,Electronics,Miami,Amex,0,0
59,4740.79,31480,Starbucks,Travel,Los Angeles,Amex,0,0
60,234.63,21071,Netflix,Gas,Dallas,Discover,0,0
61,3074.17,15712,Walmart,Gas,Boston,Amex,1,0
62,4330.94,56786,Target,Subscription,Boston,Visa,0,0
63,2820.34,46713,Uber,Entertainment,Dallas,Visa,0,0
64,1736.37,25321,Starbucks,Dining,Los Angeles,Visa,0,0
65,1265.84,50108,Uber,Groceries,Boston,Visa,0,0
66,2103.53,11729,Starbucks,Gas,San Francisco,Visa,0,0
67,1085.47,77119,BestBuy,Travel,Los Angeles,Discover,0,0
68,2809.47,82456,Apple Store,Travel,Los Angeles,MasterCard,0,0
69,587.03,9731,Amazon,Gas,Houston,Discover,0,0
70,1664.67,7382,Uber,Subscription,Miami,Amex,1,0
